<class 'dict'>
COUNTRY                   CONTINENT            POPULATION      TOTAL CASES     TOTAL DEATH     TOTAL TESTS    
Kyrgyzstan                Asia                 6530358         31247           1211            262894         
Maldives                  Asia                 541084          3175            15              70845          
Mayotte                   Africa               273166          2862            38              13000          
Gibraltar                 Europe               33690           184             0               19281          
Mongolia                  Asia                 3281323         288             0               32049          
Ethiopia                  Africa               115114480       12693           200             364322         
Kenya                     Africa               53835749        16268           274             261027         
Seychelles                Africa               98385           114             0               0              
Equatorial-Guinea         Africa               1405229         3071            51              16000          
Tanzania                  Africa               0               509             21              0              
US-Virgin-Islands         None                 0               17              0               0              
Gabon                     Africa               2228549         6984            49              67767          
Aruba                     North-America        106795          118             3               9415           
Saint-Martin              North-America        38693           46              3               1056           
Suriname                  South-America        586938          1234            23              1244           
Bahamas                   North-America        393462          274             11              3845           
New-Caledonia             Oceania              285665          22              0               9945           
Cayman-Islands            North-America        65766           203             1               28839          
Cura&ccedil;ao            North-America        164136          29              1               1080           
Cabo-Verde                Africa               556350          2220            22              41634          
CAR                       Africa               4834307         4590            58              29162          
Congo                     Africa               5525295         3038            51              0              
El-Salvador               North-America        6488264         13792           379             221820         
Liberia                   Africa               5064059         1135            71              0              
Madagascar                Africa               27728389        8741            76              36773          
Namibia                   Africa               2543502         1618            7               20101          
St-Barth                  North-America        9878            6               0               897            
Zimbabwe                  Africa               14875523        2296            32              111737         
Sudan                     Africa               43904270        11302           715             401            
Angola                    Africa               32917010        880             35              10000          
Benin                     Africa               12138918        1694            34              80527          
Bermuda                   North-America        62263           153             9               18320          
Bhutan                    Asia                 772118          92              0               40924          
Fiji                      Oceania              896776          27              0               4000           
Greenland                 North-America        56776           13              0               5645           
Guinea                    Africa               13151229        6867            42              14407          
Haiti                     North-America        11410787        7197            154             16649          
Isle-of-Man               Europe               85061           336             24              7817           
Mauritania                Africa               4656037         6116            156             57253          
Nicaragua                 North-America        6628603         3439            108             0              
Saint-Lucia               North-America        183678          24              0               2472           
Zambia                    Africa               18410358        3856            136             72820          
Nepal                     Asia                 29166415        18374           44              647484         
Antigua-and-Barbuda       North-America        97977           76              3               1142           
Chad                      Africa               16448570        915             75              0              
Djibouti                  Africa               988837          5039            58              55726          
Eritrea                   Africa               3549163         261             0               0              
Gambia                    Africa               2420147         216             6               4515           
Vatican-City              Europe               801             12              0               0              
Montserrat                North-America        4992            12              1               61             
Niger                     Africa               24245302        1124            69              9052           
Papua-New-Guinea          Oceania              8956516         32              0               9885           
St-Vincent-Grenadines     North-America        110962          52              0               1601           
Sint-Maarten              North-America        42905           84              15              523            
Somalia                   Africa               15914770        3171            93              0              
Eswatini                  Africa               1160889         2073            28              20784          
Timor-Leste               Asia                 1316345         24              0               1568           
Uganda                    Africa               45812329        1089            1               256040         
All                       All                  0               15837722        639725          0              
Mozambique                Africa               31300337        1590            11              50853          
Syria                     Asia                 17523291        608             35              0              
Grenada                   North-America        112520          23              0               5465           
Dominica                  North-America        71997           18              0               1005           
Turks-and-Caicos          North-America        38748           90              2               1075           
Belize                    North-America        398035          47              2               3108           
Myanmar                   Asia                 54432460        346             6               107928         
Laos                      Asia                 7281710         20              0               24479          
Libya                     Africa               6876778         2424            57              44202          
Mali                      Africa               20280498        2503            123             21143          
Guinea-Bissau             Africa               1970111         1954            26              1500           
British-Virgin-Islands    North-America        30232           8               1               439            
Saint-Kitts-and-Nevis     North-America        53221           17              0               931            
Anguilla                  North-America        15007           3               0               380            
MS-Zaandam-               None                 0               9               2               0              
MS-Zaandam                None                 0               9               2               0              
Botswana                  Africa               2354256         686             1               62296          
Sierra-Leone              Africa               7985508         1752            66              0              
Burundi                   Africa               11907639        345             1               6697           
Caribbean-Netherlands     North-America        26233           10              0               424            
Malawi                    Africa               19155868        3386            79              25756          
Falkland-Islands          South-America        3485            13              0               1816           
Western-Sahara            Africa               596831          10              1               0              
South-Sudan               Africa               11201553        2258            45              12044          
Saint-Pierre-Miquelon     North-America        5792            4               0               0              
Sao-Tome-and-Principe     Africa               219388          860             14              2706           
North-America             North-America        0               4947354         204736          0              
Europe                    Europe               0               2751520         200913          0              
Asia                      Asia                 0               3749145         87352           0              
South-America             South-America        0               3561577         129470          0              
Oceania                   Oceania              0               15294           161             0              
Africa                    Africa               0               812111          17078           0              
Diamond-Princess          None                 0               712             13              0              
Yemen                     Asia                 29861711        1674            469             120            
Tajikistan                Asia                 9549254         7104            58              0              
Comoros                   Africa               870565          340             7               0              
Lesotho                   Africa               2143294         359             6               7432           
