"COUNTRY: {"CONTINENT", "POPULATION", "TOTAL CASES", "TOTAL DEATHS", "TOTAL TESTS"}
Kuwait: {'continent': 'Asia', 'population': 4274759, 'cases': 64379, 'deaths': 438, 'tests': 489566}
Serbia: {'continent': 'Europe', 'population': 8734718, 'cases': 24141, 'deaths': 543, 'tests': 631274}
Bulgaria: {'continent': 'Europe', 'population': 6944559, 'cases': 10427, 'deaths': 340, 'tests': 239294}
San-Marino: {'continent': 'Europe', 'population': 33936, 'cases': 699, 'deaths': 42, 'tests': 5729}
Armenia: {'continent': 'Asia', 'population': 2963645, 'cases': 37390, 'deaths': 711, 'tests': 157466}
Argentina: {'continent': 'South-America', 'population': 45224432, 'cases': 162526, 'deaths': 2956, 'tests': 647714}
Taiwan: {'continent': 'Asia', 'population': 23819907, 'cases': 462, 'deaths': 7, 'tests': 80623}
UAE: {'continent': 'Asia', 'population': 9898488, 'cases': 59177, 'deaths': 345, 'tests': 4875295}
Algeria: {'continent': 'Africa', 'population': 43902249, 'cases': 27973, 'deaths': 1163, 'tests': 0}
Latvia: {'continent': 'Europe', 'population': 1884559, 'cases': 1219, 'deaths': 31, 'tests': 191871}
Costa-Rica: {'continent': 'North-America', 'population': 5097333, 'cases': 15229, 'deaths': 104, 'tests': 79544}
Dominican-Republic: {'continent': 'North-America', 'population': 10855381, 'cases': 64156, 'deaths': 1083, 'tests': 244643}
Uruguay: {'continent': 'South-America', 'population': 3474562, 'cases': 1192, 'deaths': 34, 'tests': 103003}
Hungary: {'continent': 'Europe', 'population': 9658519, 'cases': 4448, 'deaths': 596, 'tests': 328583}
Jordan: {'continent': 'Asia', 'population': 10210096, 'cases': 1176, 'deaths': 11, 'tests': 571390}
Lithuania: {'continent': 'Europe', 'population': 2719254, 'cases': 2019, 'deaths': 80, 'tests': 504056}
Morocco: {'continent': 'Africa', 'population': 36939019, 'cases': 20278, 'deaths': 313, 'tests': 1147173}
Vietnam: {'continent': 'Asia', 'population': 97399175, 'cases': 431, 'deaths': 0, 'tests': 275000}
Bosnia-and-Herzegovina: {'continent': 'Europe', 'population': 3279260, 'cases': 10498, 'deaths': 294, 'tests': 132646}
Faeroe-Islands: {'continent': 'Europe', 'population': 48876, 'cases': 214, 'deaths': 0, 'tests': 33149}
Andorra: {'continent': 'Europe', 'population': 77274, 'cases': 907, 'deaths': 52, 'tests': 3750}
North-Macedonia: {'continent': 'Europe', 'population': 2083368, 'cases': 10213, 'deaths': 466, 'tests': 96194}
Cyprus: {'continent': 'Asia', 'population': 1207974, 'cases': 1057, 'deaths': 19, 'tests': 193712}
Brunei: {'continent': 'Asia', 'population': 437722, 'cases': 141, 'deaths': 3, 'tests': 37058}
Moldova: {'continent': 'Europe', 'population': 4033264, 'cases': 23154, 'deaths': 748, 'tests': 128076}
Sri-Lanka: {'continent': 'Asia', 'population': 21419670, 'cases': 2804, 'deaths': 11, 'tests': 153065}
Albania: {'continent': 'Europe', 'population': 2877564, 'cases': 4880, 'deaths': 144, 'tests': 34477}
Belarus: {'continent': 'Europe', 'population': 9449094, 'cases': 67251, 'deaths': 538, 'tests': 1257399}
Malta: {'continent': 'Europe', 'population': 441628, 'cases': 701, 'deaths': 9, 'tests': 120995}
Venezuela: {'continent': 'South-America', 'population': 28430130, 'cases': 15463, 'deaths': 142, 'tests': 1491737}
Burkina-Faso: {'continent': 'Africa', 'population': 20937561, 'cases': 1100, 'deaths': 53, 'tests': 0}
Tunisia: {'continent': 'Africa', 'population': 11827086, 'cases': 1455, 'deaths': 50, 'tests': 90175}
Guadeloupe: {'continent': 'North-America', 'population': 400128, 'cases': 203, 'deaths': 14, 'tests': 15235}
Senegal: {'continent': 'Africa', 'population': 16770570, 'cases': 9764, 'deaths': 194, 'tests': 105443}
Kazakhstan: {'continent': 'Asia', 'population': 18791918, 'cases': 83122, 'deaths': 585, 'tests': 2064778}
Azerbaijan: {'continent': 'Asia', 'population': 10145499, 'cases': 30446, 'deaths': 423, 'tests': 690386}
Cambodia: {'continent': 'Asia', 'population': 16733787, 'cases': 225, 'deaths': 0, 'tests': 58499}
Palestine: {'continent': 'Asia', 'population': 5108767, 'cases': 10621, 'deaths': 77, 'tests': 155355}
New-Zealand: {'continent': 'Oceania', 'population': 5002100, 'cases': 1556, 'deaths': 22, 'tests': 456227}
Oman: {'continent': 'Asia', 'population': 5114531, 'cases': 77058, 'deaths': 393, 'tests': 300493}
Georgia: {'continent': 'Asia', 'population': 3988597, 'cases': 1137, 'deaths': 16, 'tests': 204356}
Trinidad-and-Tobago: {'continent': 'North-America', 'population': 1399814, 'cases': 148, 'deaths': 8, 'tests': 6550}
Ukraine: {'continent': 'Europe', 'population': 43713713, 'cases': 65656, 'deaths': 1616, 'tests': 970705}
R&eacute;union: {'continent': 'Africa', 'population': 895725, 'cases': 657, 'deaths': 3, 'tests': 35419}
Uzbekistan: {'continent': 'Asia', 'population': 33501443, 'cases': 20952, 'deaths': 119, 'tests': 1377915}
Cameroon: {'continent': 'Africa', 'population': 26584456, 'cases': 16708, 'deaths': 385, 'tests': 145000}
Martinique: {'continent': 'North-America', 'population': 375246, 'cases': 269, 'deaths': 15, 'tests': 12227}
Liechtenstein: {'continent': 'Europe', 'population': 38133, 'cases': 86, 'deaths': 1, 'tests': 900}
Channel-Islands: {'continent': 'Europe', 'population': 173961, 'cases': 584, 'deaths': 47, 'tests': 30721}
Bangladesh: {'continent': 'Asia', 'population': 164802127, 'cases': 226225, 'deaths': 2965, 'tests': 1124417}
Afghanistan: {'continent': 'Asia', 'population': 38983033, 'cases': 36263, 'deaths': 1269, 'tests': 87378}
Honduras: {'continent': 'North-America', 'population': 9914965, 'cases': 39276, 'deaths': 1116, 'tests': 95574}
DRC: {'continent': 'Africa', 'population': 89719980, 'cases': 8844, 'deaths': 208, 'tests': 0}
Nigeria: {'continent': 'Africa', 'population': 206438279, 'cases': 40532, 'deaths': 858, 'tests': 262579}
Cuba: {'continent': 'North-America', 'population': 11326106, 'cases': 2495, 'deaths': 87, 'tests': 247203}
Ghana: {'continent': 'Africa', 'population': 31112174, 'cases': 32969, 'deaths': 168, 'tests': 374612}
Puerto-Rico: {'continent': 'None', 'population': 0, 'cases': 39, 'deaths': 2, 'tests': 0}
Jamaica: {'continent': 'North-America', 'population': 2962090, 'cases': 842, 'deaths': 10, 'tests': 36194}
Bolivia: {'continent': 'South-America', 'population': 11683672, 'cases': 69429, 'deaths': 2583, 'tests': 148857}
Guyana: {'continent': 'South-America', 'population': 786822, 'cases': 370, 'deaths': 20, 'tests': 4273}
Paraguay: {'continent': 'South-America', 'population': 7138218, 'cases': 4444, 'deaths': 41, 'tests': 117562}
Macao: {'continent': 'Asia', 'population': 649709, 'cases': 46, 'deaths': 0, 'tests': 4071}
Monaco: {'continent': 'Europe', 'population': 39260, 'cases': 116, 'deaths': 4, 'tests': 38209}
French-Guiana: {'continent': 'South-America', 'population': 299151, 'cases': 7332, 'deaths': 41, 'tests': 36205}
Guatemala: {'continent': 'North-America', 'population': 17936018, 'cases': 45053, 'deaths': 1734, 'tests': 140501}
Rwanda: {'continent': 'Africa', 'population': 12970988, 'cases': 1821, 'deaths': 5, 'tests': 242129}
Montenegro: {'continent': 'Europe', 'population': 628072, 'cases': 2799, 'deaths': 43, 'tests': 32934}
Togo: {'continent': 'Africa', 'population': 8290735, 'cases': 868, 'deaths': 18, 'tests': 40763}
French-Polynesia: {'continent': 'Oceania', 'population': 280894, 'cases': 62, 'deaths': 0, 'tests': 4649}
Guam: {'continent': 'None', 'population': 0, 'cases': 32, 'deaths': 1, 'tests': 0}
Mauritius: {'continent': 'Africa', 'population': 1271904, 'cases': 344, 'deaths': 10, 'tests': 205285}
Barbados: {'continent': 'North-America', 'population': 287401, 'cases': 110, 'deaths': 7, 'tests': 10403}
Ivory-Coast: {'continent': 'Africa', 'population': 26416469, 'cases': 15596, 'deaths': 96, 'tests': 95105}
Kyrgyzstan: {'continent': 'Asia', 'population': 6531241, 'cases': 33296, 'deaths': 1301, 'tests': 267718}
Maldives: {'continent': 'Asia', 'population': 541136, 'cases': 3302, 'deaths': 15, 'tests': 70845}
Mayotte: {'continent': 'Africa', 'population': 273220, 'cases': 2862, 'deaths': 38, 'tests': 13000}
Gibraltar: {'continent': 'Europe', 'population': 33690, 'cases': 185, 'deaths': 0, 'tests': 19731}
Mongolia: {'continent': 'Asia', 'population': 3281756, 'cases': 288, 'deaths': 0, 'tests': 33392}
Ethiopia: {'continent': 'Africa', 'population': 115137892, 'cases': 14547, 'deaths': 228, 'tests': 389348}
Kenya: {'continent': 'Africa', 'population': 53845480, 'cases': 17603, 'deaths': 280, 'tests': 276415}
Seychelles: {'continent': 'Africa', 'population': 98388, 'cases': 114, 'deaths': 0, 'tests': 0}
Equatorial-Guinea: {'continent': 'Africa', 'population': 1405229, 'cases': 3071, 'deaths': 51, 'tests': 16000}
Tanzania: {'continent': 'Africa', 'population': 0, 'cases': 509, 'deaths': 21, 'tests': 0}
US-Virgin-Islands: {'continent': 'None', 'population': 0, 'cases': 17, 'deaths': 0, 'tests': 0}
Gabon: {'continent': 'Africa', 'population': 2228837, 'cases': 6984, 'deaths': 49, 'tests': 67767}
Aruba: {'continent': 'North-America', 'population': 106798, 'cases': 119, 'deaths': 3, 'tests': 10111}
Saint-Martin: {'continent': 'North-America', 'population': 38705, 'cases': 49, 'deaths': 3, 'tests': 1080}
Suriname: {'continent': 'South-America', 'population': 586996, 'cases': 1439, 'deaths': 23, 'tests': 1244}
Bahamas: {'continent': 'North-America', 'population': 393493, 'cases': 342, 'deaths': 11, 'tests': 3966}
New-Caledonia: {'continent': 'Oceania', 'population': 285665, 'cases': 22, 'deaths': 0, 'tests': 10119}
Cayman-Islands: {'continent': 'North-America', 'population': 65772, 'cases': 203, 'deaths': 1, 'tests': 28904}
Cura&ccedil;ao: {'continent': 'North-America', 'population': 164136, 'cases': 29, 'deaths': 1, 'tests': 1080}
Cabo-Verde: {'continent': 'Africa', 'population': 556383, 'cases': 2307, 'deaths': 22, 'tests': 41634}
CAR: {'continent': 'Africa', 'population': 4834996, 'cases': 4599, 'deaths': 59, 'tests': 29202}
Congo: {'continent': 'Africa', 'population': 5525295, 'cases': 3038, 'deaths': 51, 'tests': 0}
El-Salvador: {'continent': 'North-America', 'population': 6488532, 'cases': 15035, 'deaths': 408, 'tests': 229186}
Liberia: {'continent': 'Africa', 'population': 5065036, 'cases': 1167, 'deaths': 72, 'tests': 0}
Madagascar: {'continent': 'Africa', 'population': 27734243, 'cases': 9690, 'deaths': 91, 'tests': 38587}
Namibia: {'continent': 'Africa', 'population': 2543879, 'cases': 1843, 'deaths': 8, 'tests': 23140}
St-Barth: {'continent': 'North-America', 'population': 9879, 'cases': 7, 'deaths': 0, 'tests': 1246}
Zimbabwe: {'continent': 'Africa', 'population': 14876706, 'cases': 2512, 'deaths': 34, 'tests': 119866}
Sudan: {'continent': 'Africa', 'population': 43907075, 'cases': 11385, 'deaths': 717, 'tests': 401}
Angola: {'continent': 'Africa', 'population': 32922623, 'cases': 932, 'deaths': 40, 'tests': 10000}
Benin: {'continent': 'Africa', 'population': 12141530, 'cases': 1770, 'deaths': 35, 'tests': 80527}
Bermuda: {'continent': 'North-America', 'population': 62263, 'cases': 153, 'deaths': 9, 'tests': 18320}
